"visit_date","source","medium","campaign","total_cost","visitors_count","leads_count","purchases_count","revenue"
"01-06-2023",yandex,cpc,freemium,21654,132,128,26,1726717
"01-06-2023",yandex,cpc,prof-frontend,57138,97,92,15,1430340
"01-06-2023",yandex,cpc,prof-python,33026,85,84,12,954735
"01-06-2023",vk,cpc,prof-python,2028,99,67,7,588004
"01-06-2023",vk,cpc,freemium-frontend,3160,130,84,9,552181
"01-06-2023",yandex,cpc,base-python,12524,37,34,8,547928
"01-06-2023",vk,cpc,prof-java,3115,87,54,3,383918
"01-06-2023",yandex,cpc,prof-java,29490,64,64,5,355987
"01-06-2023",yandex,cpc,base-frontend,18061,54,53,4,322155
"09-06-2023",telegram,cpp,base-java,,5,2,2,302384
"20-06-2023",telegram,cpp,base-java,,4,2,2,302384
"01-06-2023",vk,cpc,prof-data-analytics,1072,77,57,5,253444
"01-06-2023",vk,cpc,freemium-python,980,67,45,3,249186
"01-06-2023",yandex,cpc,prof-professions-brand,4818,25,24,4,230307
"01-06-2023",yandex,cpc,prof-data-analytics,10086,17,17,2,220264
